Kingdom	Phylum	Class	Order	Family	Genus	SP.Fe.Su.a.1	SP.Fe.Su.a.2	SP.Fe.Su.B.1	SP.Fe.Su.B.2	SP.Fe.Su.C.1	SP.Fe.Su.C.2	SP.Fe.Su.Ch.1	SP.Fe.Su.Ch.2	SP.Fe.Su.Li.1	SP.Fe.Su.Li.2	SP.Fe.Su.m.1	SP.Fe.Su.m.2	SP.Fe.Su.NC.1	SP.Fe.Su.NC.2	SP.Fe.Su.P.1	SP.Fe.Su.P.2	SP.S.Su.a.1	SP.S.Su.a.2	SP.S.Su.B.1	SP.S.Su.B.2	SP.S.Su.C.1	SP.S.Su.C.2	SP.S.Su.Ch.1	SP.S.Su.Ch.2	SP.S.Su.Li.1	SP.S.Su.Li.2	SP.S.Su.m.1	SP.S.Su.m.2	SP.S.Su.NC.1	SP.S.Su.NC.2	SP.S.Su.P.1	SP.S.Su.P.2	SP.SO4.Su.a.1	SP.SO4.Su.a.2	SP.SO4.Su.B.1	SP.SO4.Su.B.2	SP.SO4.Su.C.1	SP.SO4.Su.C.2	SP.SO4.Su.Ch.1	SP.SO4.Su.Ch.2	SP.SO4.Su.Li.1	SP.SO4.Su.Li.2	SP.SO4.Su.m.1	SP.SO4.Su.m.2	SP.SO4.Su.NC.1	SP.SO4.Su.NC.2	SP.SO4.Su.P.1	SP.SO4.Su.P.2
Bacteria	Marinimicrobia_SAR406	Marinimicrobia_SAR406	Marinimicrobia_SAR406	Marinimicrobia_SAR406	Marinimicrobia_SAR406	0	0	0	0	0	0	4	0	0	0	4	0	0	8	5	2	3	9	0	0	0	0	0	0	0	0	5	21	7	12	10	7	0	12	0	0	0	0	0	0	0	0	10	9	10	17	0	0
Bacteria	Myxococcota	Polyangia	Polyangiales	Sandaracinaceae	Sandaracinaceae_unclass	12	6	4	4	0	0	0	0	0	0	16	0	12	11	12	10	11	7	0	0	0	0	0	0	0	0	9	12	0	7	0	0	13	14	0	0	0	0	0	0	2	0	12	12	16	18	0	3
Bacteria	Nitrospirota	Thermodesulfovibrionia	Thermodesulfovibrionia_unclass	Thermodesulfovibrionia_unclass	Thermodesulfovibrionia_unclass	17	10	6	0	0	0	5	0	0	0	61	18	32	63	0	0	25	69	0	0	0	0	0	0	5	0	36	82	17	0	48	0	52	45	0	0	0	0	4	0	0	0	62	59	73	85	0	10
Bacteria	Patescibacteria	Berkelbacteria	Berkelbacteria	Berkelbacteria	Berkelbacteria	0	0	0	0	0	0	0	0	0	0	0	0	6	20	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	26	17	0	0
Bacteria	Patescibacteria	Microgenomatia	Cand__Amesbacteria	Cand__Amesbacteria	Cand__Amesbacteria	0	0	0	0	0	0	0	0	0	0	12	13	0	12	0	0	0	13	0	0	0	0	0	0	0	0	6	25	3	0	10	0	0	17	0	0	0	0	0	0	0	0	11	0	16	0	0	0
Bacteria	Patescibacteria	Microgenomatia	Cand__Woesebacteria	Cand__Woesebacteria	Cand__Woesebacteria	0	3	0	3	0	0	0	0	0	0	0	4	0	0	3	0	7	5	0	0	0	0	0	0	0	0	10	21	9	0	0	6	15	6	0	0	0	0	0	0	0	0	0	11	14	0	0	0
Bacteria	Patescibacteria	Microgenomatia	Microgenomatia_unclass	Microgenomatia_unclass	Microgenomatia_unclass	17	0	3	0	0	0	0	0	0	0	10	0	4	8	0	6	4	5	0	0	0	0	0	0	0	0	0	24	6	0	10	0	0	3	0	0	0	0	0	0	0	0	0	0	19	0	0	0
Bacteria	Patescibacteria	Parcubacteria	Cand__Moranbacteria	Cand__Moranbacteria	Cand__Moranbacteria	52	0	9	17	0	0	0	0	0	5	87	24	30	123	0	14	4	10	0	0	0	0	0	0	0	0	41	61	14	5	42	14	10	18	0	0	0	0	8	0	3	0	7	8	83	128	3	0
Bacteria	Patescibacteria	Parcubacteria	Parcubacteria	Parcubacteria	Parcubacteria	0	3	0	0	0	0	0	2	0	0	0	0	0	8	0	0	9	13	0	0	0	0	0	0	0	0	7	5	2	0	5	0	14	8	0	0	0	0	0	0	0	0	9	4	16	0	0	0
Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerae_MSBL9	Phycisphaerae_MSBL9	Phycisphaerae_MSBL9	0	0	0	0	0	0	0	0	10	53	0	0	0	0	0	0	9	12	0	0	0	0	0	0	0	0	21	24	7	6	17	13	23	41	0	0	0	0	0	3	0	3	14	16	21	49	0	0
Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerae_MSBL9	Phycisphaerae_MSBL9	Phycisphaerae_MSBL9	0	4	4	0	0	0	0	0	0	0	0	0	14	3	8	0	9	6	0	0	0	0	0	0	0	0	11	11	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	8	10	0	0
Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerae_MSBL9	Phycisphaerae_MSBL9_SG8	Phycisphaerae_MSBL9_SG8	16	0	0	0	0	0	0	0	0	0	50	0	0	19	12	11	0	41	0	0	0	0	0	0	3	0	47	43	6	9	41	13	44	32	0	0	0	0	0	0	0	0	0	10	25	31	0	0
Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerae_MSBL9	Phycisphaerae_MSBL9_SM23	Phycisphaerae_MSBL9_SM23	0	0	0	0	0	0	0	0	0	0	16	8	0	21	0	0	8	0	0	0	0	0	0	0	0	0	9	18	0	10	12	10	0	11	0	0	0	0	0	0	0	0	4	0	0	7	0	0
Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerae_Pla1	Phycisphaerae_Pla1	Phycisphaerae_Pla1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	16	0	0	0	0	0	0	0	0	0	25	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0
